SINGLE SHOT FULL FINE TUNING

mean: tensor([0.8116, 0.7858, 0.7380])
std: tensor([0.2730, 0.2863, 0.3374])

lr=0.01 e=0: train acc 0.18138708174228668 | val acc 0.1923990547657013
lr=0.01 e=1: train acc 0.38055720925331116 | val acc 0.3420427739620209
lr=0.01 e=2: train acc 0.40130409598350525 | val acc 0.3824228048324585
lr=0.01 e=3: train acc 0.61885005235672 | val acc 0.5938242673873901
lr=0.01 e=4: train acc 0.755779504776001 | val acc 0.6745843291282654
lr=0.01 e=5: train acc 0.7119146585464478 | val acc 0.6603325605392456
lr=0.01 e=6: train acc 0.7640782594680786 | val acc 0.6888361573219299
lr=0.01 e=7: train acc 0.8156490921974182 | val acc 0.6959620118141174
lr=0.01 e=8: train acc 0.8589211702346802 | val acc 0.7244656085968018
lr=0.01 e=9: train acc 0.9395377039909363 | val acc 0.7885985970497131
lr=0.01 e=10: train acc 0.9324244856834412 | val acc 0.7909739017486572
lr=0.01 e=11: train acc 0.8375815153121948 | val acc 0.7149643898010254
lr=0.01 e=12: train acc 0.9419087767601013 | val acc 0.7767221331596375
lr=0.01 e=13: train acc 0.9863663911819458 | val acc 0.8479810357093811
lr=0.01 e=14: train acc 0.9756965637207031 | val acc 0.8313539624214172
lr=0.01 e=15: train acc 0.9626556634902954 | val acc 0.8028503656387329
lr=0.01 e=16: train acc 0.9922940731048584 | val acc 0.8598574995994568
lr=0.01 e=17: train acc 0.9668050408363342 | val acc 0.8004751205444336
lr=0.01 e=18: train acc 0.8393598198890686 | val acc 0.6935867071151733
lr=0.01 e=19: train acc 1.0 | val acc 0.8836104869842529
lr=0.01 e=20: train acc 0.9905157685279846 | val acc 0.8384798169136047
lr=0.01 e=21: train acc 0.9911085367202759 | val acc 0.8717340230941772
lr=0.01 e=22: train acc 0.9970362186431885 | val acc 0.8717340230941772
lr=0.01 e=23: train acc 0.9994072914123535 | val acc 0.9026128649711609
lr=0.01 e=24: train acc 0.998221755027771 | val acc 0.8907364010810852
lr=0.01 e=25: train acc 0.9733254909515381 | val acc 0.8147268891334534
lr=0.01 e=26: train acc 0.9988145232200623 | val acc 0.864608108997345
