FEW SHOT FULL FINE TUNING

training dataset size: 236
mean: tensor([0.7739, 0.7576, 0.7179])
std: tensor([0.2972, 0.2968, 0.3353])

lr=0.03 e=31: train acc 0.5238094925880432 | val acc 0.42553189396858215
lr=0.03 e=32: train acc 0.476190447807312 | val acc 0.27659574151039124
lr=0.03 e=33: train acc 0.5502645373344421 | val acc 0.3404255211353302
lr=0.03 e=34: train acc 0.476190447807312 | val acc 0.3829787075519562
lr=0.03 e=35: train acc 0.4497354328632355 | val acc 0.3191489279270172
lr=0.03 e=36: train acc 0.5449735522270203 | val acc 0.3191489279270172
lr=0.03 e=37: train acc 0.5396825075149536 | val acc 0.40425530076026917
lr=0.03 e=38: train acc 0.5449735522270203 | val acc 0.3404255211353302
lr=0.03 e=39: train acc 0.47089946269989014 | val acc 0.2978723347187042
lr=0.03 e=40: train acc 0.6296296119689941 | val acc 0.3404255211353302
lr=0.03 e=41: train acc 0.5291005373001099 | val acc 0.3829787075519562
lr=0.03 e=42: train acc 0.6031745672225952 | val acc 0.42553189396858215
lr=0.03 e=43: train acc 0.5502645373344421 | val acc 0.42553189396858215
lr=0.03 e=44: train acc 0.4603174328804016 | val acc 0.3404255211353302
lr=0.03 e=45: train acc 0.5185185074806213 | val acc 0.3191489279270172
lr=0.03 e=46: train acc 0.714285671710968 | val acc 0.40425530076026917
lr=0.03 e=47: train acc 0.6507936120033264 | val acc 0.40425530076026917
lr=0.03 e=48: train acc 0.6507936120033264 | val acc 0.40425530076026917
lr=0.03 e=49: train acc 0.38624337315559387 | val acc 0.1702127605676651
lr=0.03 e=50: train acc 0.634920597076416 | val acc 0.3191489279270172
lr=0.001 e=0: train acc 0.06878306716680527 | val acc 0.08510638028383255
lr=0.001 e=1: train acc 0.9841269254684448 | val acc 0.6170212626457214
lr=0.001 e=2: train acc 0.9999999403953552 | val acc 0.6382978558540344
lr=0.001 e=3: train acc 0.9999999403953552 | val acc 0.6808510422706604
lr=0.001 e=4: train acc 0.9999999403953552 | val acc 0.7446808218955994
lr=0.001 e=5: train acc 0.9999999403953552 | val acc 0.7659574151039124
lr=0.001 e=6: train acc 0.9999999403953552 | val acc 0.7659574151039124
lr=0.001 e=7: train acc 0.9999999403953552 | val acc 0.7659574151039124
lr=0.001 e=8: train acc 0.9999999403953552 | val acc 0.7234042286872864
lr=0.001 e=9: train acc 0.9999999403953552 | val acc 0.7234042286872864
lr=0.001 e=10: train acc 0.9999999403953552 | val acc 0.7659574151039124
lr=0.001 e=11: train acc 0.9999999403953552 | val acc 0.7446808218955994
lr=0.001 e=12: train acc 0.9999999403953552 | val acc 0.7659574151039124
lr=0.001 e=13: train acc 0.9999999403953552 | val acc 0.7446808218955994
lr=0.001 e=14: train acc 0.9999999403953552 | val acc 0.7659574151039124
lr=0.001 e=15: train acc 0.9999999403953552 | val acc 0.7234042286872864
lr=0.001 e=16: train acc 0.9999999403953552 | val acc 0.7446808218955994
lr=0.001 e=17: train acc 0.9999999403953552 | val acc 0.7659574151039124
lr=0.001 e=18: train acc 0.9999999403953552 | val acc 0.7234042286872864
lr=0.001 e=19: train acc 0.9999999403953552 | val acc 0.7446808218955994
lr=0.001 e=20: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.001 e=21: train acc 0.9999999403953552 | val acc 0.7446808218955994
