FEW SHOT FROM SCRATCH

mean: tensor([0.7739, 0.7576, 0.7179])
std: tensor([0.2972, 0.2968, 0.3353])

lr=0.03 e=31: train acc 0.5714285373687744 | val acc 0.3404255211353302
lr=0.03 e=32: train acc 0.6507936120033264 | val acc 0.3191489279270172
lr=0.03 e=33: train acc 0.7037037014961243 | val acc 0.46808508038520813
lr=0.03 e=34: train acc 0.7354497313499451 | val acc 0.3191489279270172
lr=0.03 e=35: train acc 0.6296296119689941 | val acc 0.3404255211353302
lr=0.03 e=36: train acc 0.7671957612037659 | val acc 0.46808508038520813
lr=0.03 e=37: train acc 0.8042327761650085 | val acc 0.3191489279270172
lr=0.03 e=38: train acc 0.6719576716423035 | val acc 0.27659574151039124
lr=0.03 e=39: train acc 0.5767195820808411 | val acc 0.2978723347187042
lr=0.03 e=40: train acc 0.8412697911262512 | val acc 0.44680848717689514
lr=0.03 e=41: train acc 0.899470865726471 | val acc 0.3617021143436432
lr=0.03 e=42: train acc 0.8253967761993408 | val acc 0.3191489279270172
lr=0.03 e=43: train acc 0.820105791091919 | val acc 0.44680848717689514
lr=0.03 e=44: train acc 0.7671957612037659 | val acc 0.44680848717689514
lr=0.03 e=45: train acc 0.8465608358383179 | val acc 0.3829787075519562
lr=0.03 e=46: train acc 0.7989417910575867 | val acc 0.2978723347187042
lr=0.03 e=47: train acc 0.9259259104728699 | val acc 0.3191489279270172
lr=0.03 e=48: train acc 0.9629629254341125 | val acc 0.3617021143436432
lr=0.03 e=49: train acc 0.8677248358726501 | val acc 0.3617021143436432
lr=0.03 e=50: train acc 0.899470865726471 | val acc 0.3191489279270172
lr=0.001 e=0: train acc 0.11640211194753647 | val acc 0.1489361673593521
lr=0.001 e=1: train acc 0.4126983880996704 | val acc 0.25531914830207825
lr=0.001 e=2: train acc 0.3015872836112976 | val acc 0.2978723347187042
lr=0.001 e=3: train acc 0.4021163880825043 | val acc 0.2978723347187042
lr=0.001 e=4: train acc 0.45502644777297974 | val acc 0.27659574151039124
lr=0.001 e=5: train acc 0.5767195820808411 | val acc 0.44680848717689514
lr=0.001 e=6: train acc 0.476190447807312 | val acc 0.21276594698429108
lr=0.001 e=7: train acc 0.7566137313842773 | val acc 0.42553189396858215
lr=0.001 e=8: train acc 0.820105791091919 | val acc 0.5319148898124695
lr=0.001 e=9: train acc 0.9417989253997803 | val acc 0.40425530076026917
lr=0.001 e=10: train acc 0.9365078806877136 | val acc 0.3829787075519562
lr=0.001 e=11: train acc 0.9206348657608032 | val acc 0.40425530076026917
lr=0.001 e=12: train acc 0.978835940361023 | val acc 0.4893616735935211
lr=0.001 e=13: train acc 0.9947089552879333 | val acc 0.44680848717689514
lr=0.001 e=14: train acc 0.9841269254684448 | val acc 0.42553189396858215
lr=0.001 e=15: train acc 0.9947089552879333 | val acc 0.4893616735935211
lr=0.001 e=16: train acc 0.9947089552879333 | val acc 0.42553189396858215
lr=0.001 e=17: train acc 0.9894179701805115 | val acc 0.46808508038520813
lr=0.001 e=18: train acc 0.9947089552879333 | val acc 0.44680848717689514
lr=0.001 e=19: train acc 0.9999999403953552 | val acc 0.5106382966041565
lr=0.001 e=20: train acc 0.9999999403953552 | val acc 0.42553189396858215
lr=0.001 e=21: train acc 0.9999999403953552 | val acc 0.5106382966041565
lr=0.001 e=22: train acc 0.9999999403953552 | val acc 0.46808508038520813
lr=0.001 e=23: train acc 0.9365078806877136 | val acc 0.3404255211353302
lr=0.001 e=24: train acc 0.9947089552879333 | val acc 0.5106382966041565
lr=0.001 e=25: train acc 0.9470899105072021 | val acc 0.5319148898124695
lr=0.001 e=26: train acc 0.9999999403953552 | val acc 0.42553189396858215
lr=0.001 e=27: train acc 0.9999999403953552 | val acc 0.46808508038520813
lr=0.001 e=28: train acc 0.9947089552879333 | val acc 0.42553189396858215
lr=0.001 e=29: train acc 0.9999999403953552 | val acc 0.44680848717689514
lr=0.001 e=30: train acc 0.9947089552879333 | val acc 0.4893616735935211
lr=0.001 e=31: train acc 0.9999999403953552 | val acc 0.42553189396858215
lr=0.001 e=32: train acc 0.9999999403953552 | val acc 0.44680848717689514
lr=0.001 e=33: train acc 0.9999999403953552 | val acc 0.40425530076026917
lr=0.001 e=34: train acc 0.9999999403953552 | val acc 0.3617021143436432
lr=0.001 e=35: train acc 0.9947089552879333 | val acc 0.46808508038520813
lr=0.001 e=36: train acc 0.9999999403953552 | val acc 0.5319148898124695
lr=0.001 e=37: train acc 0.9999999403953552 | val acc 0.44680848717689514
lr=0.001 e=38: train acc 0.9999999403953552 | val acc 0.44680848717689514
lr=0.001 e=39: train acc 0.9999999403953552 | val acc 0.46808508038520813
lr=0.001 e=40: train acc 0.9999999403953552 | val acc 0.44680848717689514
lr=0.001 e=41: train acc 0.9999999403953552 | val acc 0.4893616735935211
lr=0.001 e=42: train acc 0.9999999403953552 | val acc 0.5106382966041565
lr=0.001 e=43: train acc 0.9999999403953552 | val acc 0.4893616735935211
lr=0.001 e=44: train acc 0.9999999403953552 | val acc 0.46808508038520813
lr=0.001 e=45: train acc 0.9894179701805115 | val acc 0.3617021143436432
lr=0.001 e=46: train acc 0.9947089552879333 | val acc 0.5106382966041565
lr=0.001 e=47: train acc 0.9999999403953552 | val acc 0.4893616735935211
lr=0.001 e=48: train acc 0.9999999403953552 | val acc 0.5106382966041565
lr=0.001 e=49: train acc 0.9999999403953552 | val acc 0.44680848717689514
lr=0.001 e=50: train acc 0.9999999403953552 | val acc 0.4893616735935211
lr=0.003 e=0: train acc 0.11640211194753647 | val acc 0.1489361673593521
lr=0.003 e=1: train acc 0.238095223903656 | val acc 0.1702127605676651
lr=0.003 e=2: train acc 0.35978835821151733 | val acc 0.25531914830207825
lr=0.003 e=3: train acc 0.35978835821151733 | val acc 0.23404254019260406
lr=0.003 e=4: train acc 0.38624337315559387 | val acc 0.27659574151039124
lr=0.003 e=5: train acc 0.40740740299224854 | val acc 0.3191489279270172
lr=0.003 e=6: train acc 0.5026454925537109 | val acc 0.2978723347187042
lr=0.003 e=7: train acc 0.6719576716423035 | val acc 0.25531914830207825
lr=0.003 e=8: train acc 0.8888888359069824 | val acc 0.27659574151039124
